site,category,year,country,states,latitude,longitude
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,2007,UA,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine",47.94,24.309
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,2007,UA,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine",47.948,24.135
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,2007,UA,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine",48.1333333333,24.3833333333
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,2007,UA,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine",48.193,24.188
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,2007,UA,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine",48.3,23.6833333333
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,2007,UA,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine",48.35,23.65
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,2007,UA,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine",48.378,23.702
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,2007,UA,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine",48.421,23.172
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,2007,UA,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine",48.446,23.785
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,2007,UA,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine",48.454,23.094
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,2007,UA,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine",48.475,24.296
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,2007,UA,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine",48.488,23.773
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,2007,UA,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine",49.082,22.59
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,2007,UA,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine",49.175,26.244
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Natural,2007,UA,"Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,France,Germany,Italy,North Macedonia,Poland,Romania,Slovakia,Slovenia,Spain,Switzerland,Ukraine",49.958,23.647
Struve Geodetic Arc,Cultural,2005,UA,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",45.3325962,28.9278807
Struve Geodetic Arc,Cultural,2005,UA,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",49.1486111111,26.9916666667
Struve Geodetic Arc,Cultural,2005,UA,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",49.33,26.6819444444
Struve Geodetic Arc,Cultural,2005,UA,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",49.5658333333,26.7561111111
Struve Geodetic Arc,Cultural,2005,BY,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",52.1608333333,25.5713888889
Struve Geodetic Arc,Cultural,2005,BY,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",52.2077777778,25.5563888889
Struve Geodetic Arc,Cultural,2005,BY,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",52.2894444444,25.6494444444
Struve Geodetic Arc,Cultural,2005,BY,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",53.5605555556,24.8697222222
Struve Geodetic Arc,Cultural,2005,BY,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",54.2916666667,26.0452777778
Struve Geodetic Arc,Cultural,2005,LT,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",54.6344444444,25.4291666667
Struve Geodetic Arc,Cultural,2005,LT,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",54.9308333333,25.3166666667
Struve Geodetic Arc,Cultural,2005,LT,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",55.9025,25.4366666667
Struve Geodetic Arc,Cultural,2005,LV,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",56.5013888889,25.8566666667
Struve Geodetic Arc,Cultural,2005,LV,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",56.84,25.6366666667
Struve Geodetic Arc,Cultural,2005,EE,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",58.3788888889,26.72
Struve Geodetic Arc,Cultural,2005,EE,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",59.0483333333,26.4141666667
Struve Geodetic Arc,Cultural,2005,EE,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",59.0577777778,26.3377777778
Struve Geodetic Arc,Cultural,2005,RU,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",60.0741666667,26.9697222222
Struve Geodetic Arc,Cultural,2005,RU,"Belarus,Estonia,Finland,Latvia,Lithuania,Norway,Republic of Moldova,Russian Federation,Sweden,Ukraine",60.0852777778,26.9611111111
Białowieża Forest,Natural,1979,BY,"Belarus,Poland",52.7275,23.9811111111
Curonian Spit,Cultural,2000,LT,"Lithuania,Russian Federation",55.27458,20.96239
Uvs Nuur Basin,Natural,2003,RU,"Mongolia,Russian Federation",50.0833333333,95.25
Uvs Nuur Basin,Natural,2003,RU,"Mongolia,Russian Federation",50.2,90.2
Uvs Nuur Basin,Natural,2003,RU,"Mongolia,Russian Federation",50.25,94.75
Uvs Nuur Basin,Natural,2003,RU,"Mongolia,Russian Federation",50.5333333333,95.6333333333
